UTC,latitude,longitude,CTEratio
1.5336e+06,40.72597122,-19.23214722,0.03765868
1.5372e+06,40.69789886,-19.24720955,0.03712651
1.5408e+06,40.66983032,-19.26226807,0.03659203
1.5444e+06,40.64176559,-19.27733040,0.03605459
1.548e+06,40.61371994,-19.29239464,0.03551383
1.5516e+06,40.58564377,-19.30745316,0.03497366
1.5552e+06,40.55756760,-19.32251549,0.03443039
1.5588e+06,40.52951431,-19.33757210,0.03388446
1.5624e+06,40.50146484,-19.35262299,0.03333733
1.566e+06,40.47338486,-19.36766052,0.03279188
1.5696e+06,40.44533539,-19.38268471,0.03224386
1.5732e+06,40.41726303,-19.39770317,0.03169653
1.5768e+06,40.38919830,-19.41272545,0.03114681
1.5804e+06,40.36111832,-19.42774963,0.03059446
1.584e+06,40.33304977,-19.44276047,0.03004227
1.5876e+06,40.30498886,-19.45776176,0.02948876
1.5912e+06,40.27690506,-19.47276115,0.02893381
1.5948e+06,40.24883270,-19.48776054,0.02837675
1.5984e+06,40.22067261,-19.50242424,0.02787862
1.602e+06,40.19246292,-19.51682663,0.02742279
1.6056e+06,40.16424942,-19.53122902,0.02696573
1.6092e+06,40.13603210,-19.54561424,0.02650919
1.6128e+06,40.10783005,-19.55999184,0.02605117
1.6164e+06,40.07963562,-19.57436943,0.02559056
1.62e+06,40.05143356,-19.58874702,0.02512853
1.6236e+06,40.02322388,-19.60313034,0.02466370
1.6272e+06,39.99502563,-19.61749840,0.02419900
1.6308e+06,39.96681976,-19.63185883,0.02373321
1.6344e+06,39.93862915,-19.64622116,0.02326527
1.638e+06,39.91044998,-19.66057968,0.02279384
1.6416e+06,39.88226700,-19.67492104,0.02232388
1.6452e+06,39.85407257,-19.68925476,0.02185411
1.6488e+06,39.82586288,-19.70358276,0.02138471
1.6524e+06,39.79766464,-19.71790695,0.02091181
1.656e+06,39.76947021,-19.73223305,0.02043733
1.6596e+06,39.74128723,-19.74655533,0.01996062
1.6632e+06,39.71308517,-19.76086998,0.01948405
1.6668e+06,39.68487167,-19.77516747,0.01900879
1.6704e+06,39.65668106,-19.78946304,0.01853093
1.674e+06,39.62850952,-19.80375862,0.01804967
